"","AT","CATEGORY","EXTENSION","P","SW","D","A","RTP"
"1","CNN","megasmall","BASELINE",2496427,9.99,"CIFAR",42.85,534.704224
"2","CNN","small","DENSE",5774730,23.11,"CIFAR",82.14,956.55438
"3","CNN","small","CNN",8395051,33.06,"CIFAR",82.14,1516.541491
"4","CNN","small","CNN",9092651,33.39,"CIFAR",92.85,2319.4606
"5","CNN","small","CNN",6826411,27.33,"CIFAR",85.71,1210.279353
"6","CNN","medium","DENSE",17193387,68.78,"CIFAR",85.71,928.384616
"7","CNN","big","DENSE",33993131,135.98,"CIFAR",89.28,1030.506201
"8","RN","small","BASELINE",11243466,44.96,"CIFAR",92.85,1889.319263
"9","RN","medium","BASELINE",21351626,85.38,"CIFAR",96.42,2885.682569
"10","RN","big","BASELINE",23771594,94.99,"CIFAR",96.42,3400.704537
