"","AT","CATEGORY","EXTENSION","P","SW","D","A","RTP"
"1","CNN","megasmall","BASELINE",2495435,9.52,"GTSRB",35.71,951.427872
"2","CNN","small","DENSE",5791659,22.09,"GTSRB",28.57,1855.082575
"3","CNN","small","CNN",8395051,32,"GTSRB",39.29,1549.805919
"4","CNN","small","CNN",9092651,34.7,"GTSRB",21.43,2339.357749
"5","CNN","small","CNN",6826411,28.3,"GTSRB",35.71,1348.657037
"6","CNN","medium","DENSE",17193387,83.9,"GTSRB",35.71,1686.132904
"7","CNN","big","DENSE",33993131,135.5,"GTSRB",21.43,2614.220065
"8","RN","small","BASELINE",11247723,49.6,"GTSRB",64.29,2964.673462
"9","RN","medium","BASELINE",21355883,89.92,"GTSRB",78.57,3414.990942
"10","RN","big","BASELINE",23775851,101.5,"GTSRB",60.71,4597.506602
