"","AT","CATEGORY","EXTENSION","P","SW","D","A","RTP"
"1","CNN","megasmall","BASELINE",2496139,9.51,"MNIST",96.42,360.73164
"2","CNN","small","DENSE",5774442,23.09,"MNIST",92.85,875.151885
"3","CNN","small","CNN",8394475,32,"MNIST",100,2514.427472
"4","CNN","small","CNN",9091499,34.6,"MNIST",100,3252.559024
"5","CNN","small","CNN",6826123,26,"MNIST",96.42,2313.74961
"6","CNN","medium","DENSE",17193099,64.4,"MNIST",92.85,1642.843287
"7","CNN","big","DENSE",33992843,128,"MNIST",89.28,1787.332597
"8","RN","small","BASELINE",11237194,42.8,"MNIST",75,3251.906323
"9","RN","medium","BASELINE",21345354,81.4,"MNIST",78.57,4908.56634
"10","RN","big","BASELINE",23765322,90.5,"MNIST",32.14,4741.042002
